Symbol,·Ôµ¥Ä¥¼º_½Ã°¡(¿ø),·Ôµ¥Ä¥¼º_Á¾°¡(¿ø),·Ôµ¥Ä¥¼º_°Å·¡·®(ÁÖ),·Ôµ¥Ä¥¼º_PER(IFRS-¿¬°á),·Ôµ¥Ä¥¼º_¼ø¸Å¼ö¼ö·®(°³ÀÎ)(ÁÖ),·Ôµ¥Ä¥¼º_¼ø¸Å¼ö¼ö·®(±â°ü°è)(ÁÖ),·Ôµ¥Ä¥¼º_¼ø¸Å¼ö¼ö·®(¿Ü±¹ÀÎ°è)(ÁÖ)
2000-01-04,70000,65500,2840,4.25,640,-710,70
2000-01-05,67900,67000,120,4.35,0,0,0
2000-01-06,65000,66500,130,4.32,-50,50,0
2000-01-07,65000,65000,410,4.22,-240,240,0
2000-01-10,65500,69600,580,4.52,-370,170,0
2000-01-11,69000,66700,50,4.33,0,0,0
2000-01-12,66700,70000,1090,4.54,-30,30,0
2000-01-13,73000,69800,4800,4.53,420,-420,0
2000-01-14,69800,69800,2450,4.53,250,-250,0
2000-01-17,68100,69500,1140,4.51,20,-20,0
2000-01-18,69500,69500,8110,4.51,-2030,2060,-30
2000-01-19,69000,66300,860,4.3,140,-140,0
2000-01-20,62600,63000,890,4.09,-190,-10,90
2000-01-21,61300,65600,670,4.26,330,-390,0
2000-01-24,63100,64000,310,4.15,-100,100,0
2000-01-25,61200,66000,300,4.28,-60,60,0
2000-01-26,63000,64900,20,4.21,0,0,0
2000-01-27,64500,65500,330,4.25,180,-180,0
2000-01-28,65500,65300,1030,4.24,630,-230,-500
2000-01-31,64500,64500,20,4.19,0,0,0
2000-02-01,63000,63000,360,4.09,100,-100,0
2000-02-02,57300,65000,340,4.22,0,0,0
2000-02-03,65100,66800,720,4.34,-310,310,0
2000-02-07,68000,71000,700,4.61,0,0,0
2000-02-08,72000,68000,240,4.41,10,-10,0
2000-02-09,71500,68100,140,4.42,0,0,0
2000-02-10,72000,70000,270,4.54,-130,130,0
2000-02-11,69000,67100,1240,4.35,130,-130,0
2000-02-14,67100,67000,170,4.35,90,0,-90
2000-02-15,65000,63000,3810,4.09,1580,-1000,-580
2000-02-16,63000,60000,440,3.89,10,-100,-110
2000-02-17,60000,59500,1410,3.86,1290,0,-260
2000-02-18,60500,58800,1880,3.82,1040,-340,0
2000-02-21,59000,55800,1390,3.62,480,-580,0
2000-02-22,55600,54500,3400,3.54,660,-660,0
2000-02-23,55100,61300,1800,3.98,550,-560,10
2000-02-24,63000,62000,1460,4.02,-420,-360,780
2000-02-25,60200,60600,970,3.93,140,160,10
2000-02-28,59100,62000,1280,4.02,-870,810,60
2000-02-29,61000,65000,5240,4.22,-450,450,0
2000-03-02,64700,65900,260,4.28,0,0,0
2000-03-03,63300,62000,290,4.02,130,-130,0
2000-03-06,62000,62200,2370,4.04,460,-460,0
2000-03-07,63000,60700,3870,3.94,1310,-1310,0
2000-03-08,61000,59900,2660,3.89,2270,-2270,0
2000-03-09,61400,59800,3020,3.88,1380,-1380,0
2000-03-10,60000,60800,2710,3.95,590,-590,0
2000-03-13,60800,60000,10610,3.89,6950,-6950,0
2000-03-14,61900,61900,7130,4.02,2470,-2470,0
2000-03-15,63400,62500,8080,4.06,1000,-1000,0
2000-03-16,63400,60000,6680,3.89,3410,-3410,0
2000-03-17,61000,61000,2560,3.96,50,-50,0
2000-03-20,63000,60300,9040,3.91,5960,-5960,0
2000-03-21,60400,59600,1670,3.87,-100,0,0
2000-03-22,60000,61300,3870,3.98,1050,-1050,0
2000-03-23,62000,59100,6980,3.84,3630,-3630,0
2000-03-24,60000,59400,3680,3.86,2150,-2490,240
2000-03-27,61000,60000,9530,3.89,2340,-2340,0
2000-03-28,60000,67000,23230,4.35,5100,-5100,0
2000-03-29,67000,64500,17010,4.19,-3860,6760,0
2000-03-30,66100,67400,12680,4.37,5100,-2100,0
2000-03-31,65800,66700,4090,4.33,0,0,0
2000-04-03,68000,68300,9840,4.43,1670,-1670,0
2000-04-04,68500,67500,5230,4.38,0,0,0
2000-04-06,66100,65500,8510,4.25,-480,480,0
2000-04-07,65500,65000,5460,4.22,200,-200,0
2000-04-10,65000,67100,9070,4.35,-730,-5500,5250
2000-04-11,70000,67100,5370,4.35,410,-410,0
2000-04-12,67500,68500,3660,4.45,-1360,1360,0
2000-04-14,68500,68500,2450,4.45,750,-750,0
2000-04-17,65000,64000,3330,4.15,-1000,1000,0
2000-04-18,64400,66000,2520,4.28,-630,630,0
2000-04-19,68000,68000,12580,4.41,3200,-3430,230
2000-04-20,68000,67000,5590,4.35,-630,630,0
2000-04-21,68400,67800,6090,4.4,-270,270,0
2000-04-24,71000,68000,8870,4.41,2600,-2610,0
2000-04-25,68000,74000,9200,4.8,-590,590,0
2000-04-26,75000,72400,9980,4.7,3420,-2060,0
2000-04-27,71000,70100,12600,4.55,3330,-3330,0
2000-04-28,69000,71900,5430,4.67,2210,-1750,0
2000-05-02,71500,70500,9133,4.58,1270,-1270,0
2000-05-03,69500,71400,26250,4.63,5520,-5520,0
2000-05-04,72000,70600,5610,4.58,-460,520,0
2000-05-08,70600,70900,6720,4.6,610,-350,0
2000-05-09,70900,69100,8170,4.48,1050,-1050,0
2000-05-10,69800,68100,3130,4.42,0,0,0
2000-05-12,68700,68500,5160,4.45,-1100,1100,0
2000-05-15,68500,67000,4400,4.35,-170,170,0
2000-05-16,68000,68000,3660,4.41,-530,530,0
2000-05-17,69500,67700,8040,4.39,-280,150,0
2000-05-18,65000,67000,3180,4.35,0,0,0
2000-05-19,66000,69000,2880,4.48,-240,240,0
2000-05-22,68000,67000,5310,4.35,-970,970,0
2000-05-23,67000,67900,1900,4.41,-1000,1000,0
2000-05-24,67500,69000,4490,4.48,-1090,1090,0
2000-05-25,70000,70100,32630,4.55,11270,-7040,0
2000-05-26,70100,71500,15610,4.64,2310,-3310,0
2000-05-29,71200,74000,29100,4.8,7880,-7880,0
2000-05-30,79000,75900,15940,4.93,5100,-460,0
2000-05-31,76300,78000,22683,5.06,-1000,-1300,2300
2000-06-01,76000,78000,13550,5.06,540,1760,-2300
2000-06-02,79000,83000,22980,5.39,7620,-2770,-4850
2000-06-05,93000,95400,34130,6.19,18390,-20700,2100
2000-06-07,100000,100000,36900,6.49,9310,-11660,1850
2000-06-08,91000,94500,25150,6.13,-1480,1380,0
2000-06-09,90100,92000,16160,5.97,3270,-3270,0
2000-06-12,90100,88900,14370,5.77,1190,-1520,0
2000-06-13,89000,86300,19030,5.6,5980,-3040,-20
2000-06-14,86500,84300,13120,5.47,-980,1080,-100
2000-06-15,84300,82500,6180,5.35,1660,340,0
2000-06-16,82000,81100,10710,5.26,3530,-3430,-100
2000-06-19,84100,81200,6410,5.27,10,-10,0
2000-06-20,82000,81000,9900,5.26,560,-560,0
2000-06-21,81000,80500,10500,5.22,2130,-2130,0
2000-06-22,83000,79800,9360,5.18,3890,-3890,0
2000-06-23,78100,79500,9910,5.16,-490,490,0
2000-06-26,77200,78500,10620,5.09,2930,-2920,0
2000-06-27,79000,81900,25430,5.32,4580,-4580,0
2000-06-28,84000,86800,22470,5.63,-590,230,0
2000-06-29,87900,83600,20950,5.43,-290,290,0
2000-06-30,83000,84600,7160,5.49,1500,-1500,0
2000-07-03,85000,93500,27190,6.07,-2590,2940,0
2000-07-04,96700,91300,26980,5.93,-810,3810,2000
2000-07-05,91600,90500,10270,5.87,-5000,5000,0
2000-07-06,89000,93800,12100,6.09,-2590,2690,-100
2000-07-07,91200,93000,8130,6.04,-2010,2010,0
2000-07-10,92600,94800,11030,6.15,1170,-1170,0
2000-07-11,93600,94000,6460,6.1,-1970,1970,0
2000-07-12,95100,93000,7770,6.04,450,110,0
2000-07-13,93000,91000,7300,5.91,-380,380,0
2000-07-14,89000,88200,3740,5.72,-880,870,0
2000-07-18,86600,84900,3350,5.51,0,-200,200
2000-07-19,84000,81100,3710,5.26,-760,870,-100
2000-07-20,81000,83000,1940,5.39,40,-40,0
2000-07-21,82000,86000,2840,5.58,260,-260,0
2000-07-24,86000,83500,2290,5.42,0,0,0
2000-07-25,81100,82500,1670,5.35,-100,100,0
2000-07-26,82000,83200,900,5.4,100,-100,0
2000-07-27,83500,81900,3410,5.32,1000,-1000,0
2000-07-28,81900,80000,3200,5.19,-710,710,0
2000-07-31,77000,78900,3980,5.12,430,-430,0
2000-08-01,78900,79000,4140,5.13,-250,250,0
2000-08-02,79000,79600,2070,5.17,-300,0,0
2000-08-03,78400,79000,1620,5.13,10,-10,0
2000-08-04,79000,79000,1730,5.13,0,0,0
2000-08-07,78000,77100,1761,5,-780,740,0
2000-08-08,77200,78600,6170,5.1,2100,-2000,-100
2000-08-09,79100,83000,11190,5.39,1550,-1350,0
2000-08-10,83100,84500,2900,5.48,-760,760,0
2000-08-11,83700,87000,4411,5.65,-530,530,0
2000-08-14,89000,89100,13630,5.78,3780,-3780,0
2000-08-16,89000,95000,20613,6.17,-9220,6500,2300
2000-08-17,97000,97400,34160,6.32,-3180,-4210,5900
2000-08-18,98600,101500,13130,6.59,720,200,-400
2000-08-21,101000,95100,5830,6.17,-430,480,0
2000-08-22,96800,106500,31440,6.91,-6280,7700,500
2000-08-23,102500,108000,10530,7.01,610,-860,-100
2000-08-24,107000,104000,7650,6.75,-180,-520,0
2000-08-25,103000,105500,13530,6.85,1530,-2430,0
2000-08-28,105500,110000,23730,7.14,-2510,-8790,10200
2000-08-29,115000,123000,27142,7.98,1510,-3110,1550
2000-08-30,123500,119000,10190,7.72,-2180,2380,0
2000-08-31,117000,113500,10310,7.37,-1800,-100,0
2000-09-01,115000,122500,6240,7.95,-2140,2140,0
2000-09-04,123000,123000,15190,7.98,2520,-5200,1980
2000-09-05,123000,123000,12130,7.98,-1180,-2300,2880
2000-09-06,123000,120500,6946,7.82,344,-2784,2140
2000-09-07,122500,118000,8300,7.66,-2900,2500,0
2000-09-08,115000,115000,4240,7.46,-1340,1340,0
2000-09-14,112500,112500,4636,7.3,-1810,2510,-700
2000-09-15,111500,108000,4240,7.01,-2190,1640,0
2000-09-18,108000,98500,2390,6.39,-1060,1060,0
2000-09-19,99500,99500,4630,6.46,-890,160,2080
2000-09-20,99500,105000,3500,6.81,-510,500,10
2000-09-21,107500,102000,2690,6.62,-1170,0,970
2000-09-22,102500,100000,5661,6.49,-3600,-860,4190
2000-09-25,103000,104000,1691,6.75,-200,0,0
2000-09-26,104000,108000,820,7.01,-620,620,0
2000-09-27,106500,116000,4960,7.53,-1410,890,520
2000-09-28,114000,116000,1630,7.53,-510,-490,0
2000-09-29,119500,119000,5520,7.72,2810,-2710,0
2000-10-02,111000,115000,2360,7.46,-100,100,0
2000-10-04,115000,113500,456,7.37,50,0,0
2000-10-05,113500,113000,4820,7.33,970,-600,0
2000-10-06,112000,109000,3580,7.07,610,-610,0
2000-10-09,109000,104500,2220,6.78,500,-500,0
2000-10-10,103000,106000,3720,6.88,630,-630,0
2000-10-11,108500,105500,8690,6.85,70,-5000,4930
2000-10-12,101500,100000,1270,6.49,30,-240,210
2000-10-13,95200,98500,2630,6.39,-780,-220,1000
2000-10-16,98600,102500,6470,6.65,2380,-2380,0
2000-10-17,103000,98000,4140,6.36,-1560,830,0
2000-10-18,93000,99500,4420,6.46,-300,300,0
2000-10-19,97000,98000,3290,6.36,-1080,1080,0
2000-10-20,98000,96800,10060,6.28,4190,-4190,0
2000-10-23,95100,95900,2320,6.22,-410,410,0
2000-10-24,96500,99000,17380,6.43,-4360,3360,0
2000-10-25,99900,113500,21800,7.37,-6640,6180,0
2000-10-26,116000,114000,5160,7.4,-4020,4020,0
2000-10-27,108000,114000,3050,7.4,-2340,2340,0
2000-10-30,114000,115500,6610,7.5,-3260,3260,0
2000-10-31,119000,132500,13030,8.6,-3900,3320,0
2000-11-01,133000,135000,7020,8.76,-3180,4330,0
2000-11-02,131000,135000,4390,8.76,-480,-270,0
2000-11-03,130000,130000,5870,8.44,300,1700,-2000
2000-11-06,123000,126000,2730,8.18,280,-280,0
2000-11-07,126000,125000,6450,8.11,-310,310,0
2000-11-08,123000,122500,7030,7.95,60,-260,0
2000-11-09,121500,126000,1650,8.18,-710,710,0
2000-11-10,122500,126000,3380,8.18,750,-10,-500
2000-11-13,130000,124000,3150,8.05,1280,-1300,0
2000-11-14,125000,142500,39500,9.25,6960,-6980,0
2000-11-15,145000,147500,18010,9.57,-5000,4440,860
2000-11-16,150000,146000,9074,9.48,-2320,2350,0
2000-11-17,146000,144500,5390,9.38,-1480,980,500
2000-11-20,141500,150000,7850,9.74,-140,2680,0
2000-11-21,148000,157000,9390,10.19,-4510,4970,0
2000-11-22,160000,152500,2190,9.9,-1120,1170,0
2000-11-23,146500,147000,8570,9.54,190,-190,0
2000-11-24,142500,150000,4570,9.74,-1190,1190,0
2000-11-27,155500,149500,3120,9.7,-1010,1210,0
2000-11-28,151000,151500,1080,9.83,-260,260,0
2000-11-29,152500,150000,1340,9.74,-630,780,0
2000-11-30,149000,145000,4600,9.41,890,1610,-1500
2000-12-01,139000,143000,2290,9.28,-1310,1310,0
2000-12-04,143000,143000,6610,9.28,-160,1080,-1120
2000-12-05,140000,137500,730,8.92,0,0,0
2000-12-06,137000,130000,5070,8.44,-50,-450,500
2000-12-07,125500,129500,21120,8.4,-2130,2130,0
2000-12-08,127000,134000,37700,8.7,-1870,4900,-3030
2000-12-11,128000,132500,5440,8.6,1330,-1090,0
2000-12-12,128000,131500,3020,8.53,250,-250,0
2000-12-13,129000,130000,3850,8.44,-630,1330,0
2000-12-14,130500,133000,1470,8.63,-350,400,100
2000-12-15,130000,137000,2500,8.89,-1440,1440,0
2000-12-18,140000,139000,3170,9.02,-20,20,0
2000-12-19,140000,141000,6650,9.15,-540,-860,1700
2000-12-20,136500,138500,3517,8.99,-550,1550,-1000
2000-12-21,135000,145500,10980,9.44,-4660,5790,-930
2000-12-22,139500,160000,18850,10.38,-6980,9080,-870
2000-12-26,160000,160000,47770,10.38,-3560,5130,-470
2001-01-02,156500,150000,2620,2.8,1960,-1960,0
2001-01-03,147000,146500,430,2.73,20,-20,0
2001-01-04,146500,140500,4680,2.62,760,-760,0
2001-01-05,141000,137500,1500,2.57,400,-600,0
2001-01-08,137500,130500,11310,2.43,5040,-1290,-2970
2001-01-09,131000,137500,14550,2.57,-610,-4230,4740
2001-01-10,137500,130000,6530,2.43,-620,-1410,2030
2001-01-11,131000,130000,8460,2.43,3390,-3400,0
2001-01-12,135500,130500,6160,2.43,810,-1000,200
2001-01-15,130500,127000,6850,2.37,2150,-2080,0
2001-01-16,130000,129000,17530,2.41,4730,-3600,-1630
2001-01-17,130500,128000,4720,2.39,-1520,1440,0
2001-01-18,125000,127000,7660,2.37,-1210,1230,0
2001-01-19,129000,129000,8662,2.41,1790,-260,-1530
2001-01-22,129500,129000,3773,2.41,573,-523,0
2001-01-26,129000,126000,2685,2.35,600,270,-870
2001-01-29,125000,122000,7490,2.28,3290,-660,-2130
2001-01-30,124000,125500,10900,2.34,-2840,830,2000
2001-01-31,127000,124500,3490,2.32,-1190,1210,80
2001-02-01,124500,130500,12480,2.43,-1160,1180,-20
2001-02-02,132000,131000,5110,2.44,-860,2450,-1590
2001-02-05,129000,127500,2580,2.38,-810,770,80
2001-02-06,126000,131000,3050,2.44,-1650,1570,80
2001-02-07,130000,129000,1310,2.41,-350,500,0
2001-02-08,128500,128000,3210,2.39,1290,-1270,0
2001-02-09,128000,127000,1450,2.37,240,-90,0
2001-02-12,126000,125000,2472,2.33,-318,848,-530
2001-02-13,128000,127000,2480,2.37,-1460,1460,0
2001-02-14,126500,129000,3090,2.41,-1700,970,730
2001-02-15,129000,129000,2730,2.41,-1670,1570,0
2001-02-16,127000,128500,972,2.4,-560,60,500
2001-02-19,129000,128500,3020,2.4,-240,240,0
2001-02-20,129000,135500,6546,2.53,-2314,2314,0
2001-02-21,135500,137000,3836,2.56,-410,410,0
2001-02-22,137000,133000,2223,2.48,-443,443,0
2001-02-23,134000,132500,1971,2.47,-1129,1129,0
2001-02-26,133000,131500,1340,2.45,0,0,0
2001-02-27,131500,134000,3820,2.5,-1190,1190,0
2001-02-28,135000,137000,22314,2.56,3400,-3400,0
2001-03-02,137500,138000,6600,2.57,-1690,270,0
2001-03-05,136000,135000,2170,2.52,-440,-140,0
2001-03-06,135000,134500,780,2.51,-120,130,0
2001-03-07,135000,134000,1150,2.5,-180,180,0
2001-03-08,132000,136000,1640,2.54,-570,570,0
2001-03-09,135500,140000,7880,2.61,-3900,3700,0
2001-03-12,137000,143000,8029,2.67,-690,690,0
2001-03-13,143000,146000,5600,2.72,-1520,1520,0
2001-03-14,149000,149000,5876,2.78,-1699,1549,150
2001-03-15,148000,145500,1290,2.71,-100,100,0
2001-03-16,146000,141000,1990,2.63,-60,70,0
2001-03-19,138000,139500,7480,2.6,730,-730,0
2001-03-20,139500,136000,2070,2.54,930,-930,0
2001-03-21,132000,132500,970,2.47,-410,410,0
2001-03-22,133500,134000,1550,2.5,-490,-10,500
2001-03-23,134000,130000,36496,2.43,-27550,25100,0
2001-03-26,131000,130000,4010,2.43,-1300,300,1000
2001-03-27,128000,132000,3690,2.46,-940,-110,1000
2001-03-28,132500,135000,7703,2.52,-2567,-2183,4800
2001-03-29,132500,135500,2410,2.53,-120,600,0
2001-03-30,133500,136000,4790,2.54,-2430,190,3560
2001-04-02,135000,135000,2420,2.52,-1070,0,1120
2001-04-03,135000,135000,3643,2.52,-2430,-680,3060
2001-04-04,135000,135000,2790,2.52,-450,-1080,1430
2001-04-06,137000,138000,1650,2.57,140,-130,-10
2001-04-09,139500,136000,480,2.54,10,-60,0
2001-04-10,137000,137000,420,2.56,60,-60,0
2001-04-11,137000,136000,1060,2.54,-50,0,0
2001-04-12,136000,137500,1130,2.57,-220,90,80
2001-04-13,136000,137000,750,2.56,210,-270,60
2001-04-16,135000,135000,420,2.52,-250,50,200
2001-04-17,136000,136000,990,2.54,560,-580,20
2001-04-18,137000,137000,12020,2.56,-450,440,10
2001-04-19,140000,137000,1450,2.56,120,-220,0
2001-04-20,136000,136000,9040,2.54,1560,-7330,5470
2001-04-23,136000,134500,3080,2.51,530,-2090,1460
2001-04-24,134500,137000,5250,2.56,-642,132,510
2001-04-25,139000,142500,25070,2.66,-370,-950,1320
2001-04-26,140000,149000,12959,2.78,-4700,1560,2440
2001-04-27,150000,149500,3540,2.79,-550,550,0
2001-04-30,145000,153000,4021,2.85,1320,-1320,0
2001-05-02,153000,149000,3750,2.78,1370,-1370,0
2001-05-03,146500,146500,1420,2.73,-280,280,0
2001-05-04,145000,147000,9240,2.74,-10,510,0
2001-05-07,146000,147000,8970,2.74,1890,-6900,5010
2001-05-08,151000,155000,3410,2.89,-960,960,0
2001-05-09,157500,151000,5690,2.82,410,-1440,1000
2001-05-10,155000,154000,4780,2.87,1270,-1270,0
2001-05-11,154500,159500,15090,2.98,4930,-6220,-10
2001-05-14,164000,161000,2930,3,1400,-1900,500
2001-05-15,160000,154500,3670,2.88,1380,-1410,10
2001-05-16,155000,155000,6470,2.89,3640,-3640,0
2001-05-17,158500,155000,12580,2.89,6030,-9700,3670
2001-05-18,155000,155000,6050,2.89,2230,-2120,160
2001-05-21,156000,155000,9500,2.89,5220,-6920,1700
2001-05-22,157500,156500,25200,2.92,2760,-4760,2000
2001-05-23,158000,160000,5160,2.99,-450,440,10
2001-05-24,158000,173000,13480,3.23,-310,490,-10
2001-05-25,186000,172000,6130,3.21,880,-1380,0
2001-05-28,178000.0,166000.0,12910.0,3.1,-1580,370,10
2001-05-29,163000.0,172000.0,7850.0,3.21,-1560,1570,-10
2001-05-30,172000.0,172000.0,21590.0,3.21,12820,-14550,0
2001-05-31,172000.0,194000.0,15750.0,3.62,-1050,-1330,2460
2001-06-01,199000.0,190500.0,9002.0,3.55,-240,250,-10
2001-06-04,192000.0,192000.0,4582.0,3.58,-20,10,10
2001-06-05,192000.0,194000.0,8100.0,3.62,-1230,1230,0
2001-06-07,192000.0,190000.0,8750.0,3.55,-2910,2910,0
2001-06-08,187500.0,195000.0,5880.0,3.64,-2580,2550,30
2001-06-11,195000.0,198000.0,5510.0,3.69,540,-380,-160
2001-06-12,200500.0,220000.0,19730.0,4.1,-3310,-950,4160
2001-06-13,220000.0,216000.0,22530.0,4.03,1480,-14560,13280
2001-06-14,215000.0,215000.0,6030.0,4.01,1510,-1410,0
2001-06-15,212500.0,215500.0,3505.0,4.02,540,-540,0
2001-06-18,214500.0,200000.0,4590.0,3.73,1000,-50,-1050
2001-06-19,198000.0,194000.0,4720.0,3.62,1020,390,-1410
2001-06-20,198500.0,196000.0,3210.0,3.66,-1190,-210,1400
2001-06-21,196500.0,208000.0,11161.0,3.88,1220,-4280,2560
2001-06-22,209000.0,210000.0,8960.0,3.92,2190,-2330,-10
2001-06-25,209500.0,210000.0,4040.0,3.92,-630,630,0
2001-06-26,210000.0,193500.0,14360.0,3.61,3690,-3690,0
2001-06-27,197000.0,195500.0,2630.0,3.65,-60,60,0
2001-06-28,195500.0,194500.0,3300.0,3.63,880,1240,-2170
2001-06-29,188000.0,191000.0,13670.0,3.56,2180,6440,-8260
2001-07-02,192000.0,189000.0,3180.0,3.53,1770,-620,-1150
2001-07-03,189000.0,187500.0,3131.0,3.5,1930,-170,-1760
2001-07-04,183000.0,189000.0,4090.0,3.53,1260,-1310,0
2001-07-05,190000.0,188000.0,2541.0,3.51,-120,120,0
2001-07-06,188000.0,187000.0,18810.0,3.49,-210,-11790,12000
2001-07-09,185000.0,186500.0,2640.0,3.48,-230,140,90
2001-07-10,184000.0,186500.0,4640.0,3.48,390,-2390,2000
2001-07-11,186500.0,184000.0,2340.0,3.43,-400,1400,-1000
2001-07-12,186000.0,185500.0,1690.0,3.46,100,-720,20
2001-07-13,185500.0,184500.0,4030.0,3.44,-640,-660,0
2001-07-16,184500.0,182000.0,1770.0,3.4,-530,1400,-870
2001-07-18,177500.0,178500.0,6161.0,3.33,481,1619,-2100
2001-07-19,178500.0,172500.0,6790.0,3.22,2180,60,-2240
2001-07-20,174000.0,175000.0,2280.0,3.27,-260,-20,-20
2001-07-23,175000.0,173000.0,2290.0,3.23,570,-720,0
2001-07-24,168500.0,173000.0,2560.0,3.23,-250,100,0
2001-07-25,168000.0,178000.0,2310.0,3.32,-210,210,0
2001-07-26,175000.0,180000.0,3800.0,3.36,1450,-960,0
2001-07-27,180000.0,185000.0,3070.0,3.45,400,-400,0
2001-07-30,185500.0,186000.0,1020.0,3.47,-370,370,0
2001-07-31,188000.0,185000.0,1910.0,3.45,1330,-1330,0
2001-08-01,186000.0,185500.0,1860.0,3.46,-20,-10,30
2001-08-02,185500.0,185500.0,5840.0,3.46,4500,-5100,600
2001-08-03,185500.0,181500.0,2836.0,3.39,1530,150,-1680
2001-08-06,181000.0,182000.0,2565.0,3.4,-1510,1500,10
2001-08-07,181500.0,194000.0,19850.0,3.62,-1090,-6880,8270
2001-08-08,196000.0,190000.0,5950.0,3.55,280,-580,0
2001-08-09,189000.0,192500.0,2280.0,3.59,-920,940,0
2001-08-10,192500.0,205000.0,9582.0,3.83,460,-1460,780
2001-08-13,207000.0,207000.0,3270.0,3.86,-400,-930,1530
2001-08-14,207000.0,206000.0,1710.0,3.84,-1340,420,920
2001-08-16,201000.0,201000.0,2010.0,3.75,-1360,1330,130
2001-08-17,197000.0,201000.0,2340.0,3.75,-390,200,190
2001-08-20,201000.0,193500.0,4660.0,3.61,-370,2950,-570
2001-08-21,194000.0,200000.0,7130.0,3.73,-2290,3100,-1110
2001-08-22,199500.0,200000.0,2880.0,3.73,-1940,940,1000
2001-08-23,195500.0,201000.0,2073.0,3.75,-230,230,0
2001-08-24,202000.0,208000.0,6317.0,3.88,910,-2010,1100
2001-08-27,210000.0,210000.0,3150.0,3.92,260,-910,840
2001-08-28,209000.0,210000.0,6180.0,3.92,230,-2260,2030
2001-08-29,210000.0,210000.0,13990.0,3.92,1000,-4910,3910
2001-08-30,209000.0,210000.0,1510.0,3.92,-410,-30,440
2001-08-31,209000.0,206000.0,3570.0,3.84,-1730,690,1040
2001-09-03,206000.0,203000.0,1050.0,3.79,-800,20,780
2001-09-04,202000.0,212500.0,2660.0,3.97,-200,290,310
2001-09-05,209500.0,210000.0,1760.0,3.92,-120,-100,220
2001-09-06,210000.0,208000.0,12550.0,3.88,2670,-9580,6940
2001-09-07,210000.0,207000.0,1240.0,3.86,-20,-420,440
2001-09-10,185000.0,216000.0,6930.0,4.03,510,-2700,2170
2001-09-11,211000.0,215000.0,9940.0,4.01,-1060,-7520,8580
2001-09-12,186000.0,200000.0,3270.0,3.73,-1690,980,720
2001-09-13,205000.0,206000.0,2890.0,3.84,1080,-2210,1130
2001-09-14,205500.0,205000.0,1390.0,3.83,-570,170,400
2001-09-17,205000.0,198500.0,510.0,3.7,-210,110,100
2001-09-18,201000.0,218000.0,4280.0,4.07,-1360,290,1280
2001-09-19,219000.0,216500.0,4460.0,4.04,-170,-1800,1970
2001-09-20,217000.0,222500.0,3140.0,4.15,70,-1000,1090
2001-09-21,222500.0,217500.0,1780.0,4.06,-10,70,-60
2001-09-24,218500.0,235000.0,5100.0,4.38,-280,-1660,2010
2001-09-25,239000.0,259000.0,22650.0,4.83,-2640,-13940,16880
2001-09-26,259000.0,263500.0,6981.0,4.92,-1910,-3680,6190
2001-09-27,263000.0,260000.0,5840.0,4.85,-1210,-2590,2900
2001-09-28,260500.0,258000.0,11870.0,4.81,110,-10050,10040
2001-10-04,258000.0,254000.0,5820.0,4.74,460,-3470,3000
2001-10-05,253500.0,260000.0,5890.0,4.85,-200,-3900,4400
2001-10-08,260000.0,260000.0,620.0,4.85,-380,20,370
2001-10-09,270000.0,264000.0,2060.0,4.93,450,-880,630
2001-10-10,267000.0,280000.0,11740.0,5.22,2320,-8540,7720
2001-10-11,285500.0,305000.0,7370.0,5.69,-180,-2500,3670
2001-10-12,315000.0,305000.0,4109.0,5.69,-1849,-1040,2889
2001-10-15,305000.0,308000.0,940.0,5.75,-270,-70,340
2001-10-16,310000.0,305000.0,2293.0,5.69,1050,-1613,563
2001-10-17,302000.0,299000.0,7060.0,5.58,320,-3720,3400
2001-10-18,299000.0,286500.0,6020.0,5.35,920,-2280,1340
2001-10-19,282000.0,285000.0,1010.0,5.32,550,-560,10
2001-10-22,286000.0,284000.0,790.0,5.3,370,-210,-160
2001-10-23,284000.0,282000.0,5430.0,5.26,1200,-1220,20
2001-10-24,279000.0,291500.0,4930.0,5.44,220,-1790,1570
2001-10-25,284000.0,305000.0,4800.0,5.69,150,-3010,2860
2001-10-26,305000.0,310000.0,2920.0,5.78,450,-1780,1330
2001-10-29,310000.0,315500.0,1881.0,5.89,170,-600,430
2001-10-30,310000.0,305500.0,1870.0,5.7,-210,-990,1200
2001-10-31,301500.0,307000.0,1140.0,5.73,310,340,-650
2001-11-01,310000.0,309000.0,2170.0,5.77,-470,-870,1340
2001-11-02,312000.0,309500.0,2990.0,5.77,100,-1370,2000
2001-11-05,309000.0,305000.0,910.0,5.69,620,-580,0
2001-11-06,305000.0,298000.0,13684.0,5.56,564,-7604,7630
2001-11-07,299000.0,299000.0,2770.0,5.58,1290,-1080,1120
2001-11-08,299000.0,300000.0,1990.0,5.6,-520,-1060,1580
2001-11-09,302000.0,305000.0,2150.0,5.69,-300,-1090,250
2001-11-12,305000.0,302000.0,490.0,5.64,-190,30,160
2001-11-13,300000.0,303000.0,1860.0,5.65,420,-560,140
2001-11-14,310000.0,300000.0,3690.0,5.6,540,-1410,770
2001-11-15,306000.0,310500.0,5290.0,5.79,-360,-1520,1980
2001-11-16,314000.0,338000.0,2534.0,6.31,-590,-120,710
2001-11-19,345000.0,388500.0,5744.0,7.25,-1280,-30,810
2001-11-20,400500.0,446500.0,7384.0,8.33,2490,-1710,-1400
